FeatureID,Annotation_Confidence,Final_name,Final_formula,InChIKey,Final_Superclass,Final_Class,Final_Subclass,ClassyFire.level.5,NPC.pathway,NPC.superclass,NPC.class
15.454_247.09404_RP,L2,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C14H14O4,FWYSBEAFFPBAQU-LBPRGKRZSA-N,Phenylpropanoids and polyketides,Coumarins and derivatives,Furanocoumarins,NA,NA,NA,NA
1.513_190.11863_RP,L3,(2S)-2-amino-5-[[amino(methoxy)methylidene]amino]pentanoic acid,C7H15N3O3,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Amino acids and Peptides,Small peptides,Aminoacids
8.015_323.11011_RP,L2,"(2S,3R,4S,5S,6R)-2-[4-(2-hydroxyethyl)phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C14H20O7,OJDSCNUKKOKOQJ-RKQHYHRCSA-N,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA
1.414_253.07061_RP,L3,"(2S,3S)-3-hydroxy-2-methyl-7-[(2S,3R)-3-methyloxiran-2-yl]-2,3-dihydropyrano[4,3-b]pyran-4,5-dione",C12H12O6,NA,Organoheterocyclic compounds,Dioxolanes,"1,3-dioxolanes",NA,Polyketides,Cyclic polyketides,Oligomeric phloroglucinols (phlorotannins)
17.193_265.17979_RP,L2,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one",C16H26O4,NA,NA,NA,NA,NA,NA,NA,NA
15.74_305.17074_RP,L2,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one",C16H26O4,NA,NA,NA,NA,NA,NA,NA,NA
19.915_341.20863_RP,L2,"(2Z)-5-(1,2,4a,5-tetramethyl-7-oxo-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl)-3-methylpent-2-enoic acid",C20H30O3,NA,NA,NA,NA,NA,NA,NA,NA
19.751_341.20858_RP,L2,"(2Z)-5-(1,2,4a,5-tetramethyl-7-oxo-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl)-3-methylpent-2-enoic acid",C20H30O3,NA,NA,NA,NA,NA,NA,NA,NA
16.785_225.14853_RP,L2,"(3aR,7aS,8S,9aR)-5,8-dimethyl-3-methylidene-2H,3H,3aH,4H,6H,7H,7aH,8H,9H,9aH-azuleno[6,5-b]furan-2,6-dione",C15H18O3,NA,NA,NA,NA,NA,NA,NA,NA
1.308_458.18683_RP,L3,"(3R,4S,5S,6R)-2-[(2R,4R,5R)-4,5-dihydroxy-6-[(2R,3R,4R)-4-hydroxy-2-(hydroxymethyl)pyrrolidin-3-yl]oxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C17H31NO13,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Carbohydrates,Saccharides,Disaccharides
2.396_370.13445_RP,L3,"(3R,4S,6R)-6-[(3S,6S)-5-amino-4-hydroxy-2-(hydroxymethyl)-6-methoxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",C13H23NO11,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars
10.651_316.1755_RP,L2,(5-methyl-3-isoxazolyl)[4-(5-propyl-2-pyrimidinyl)piperazino]methanone,C16H21N5O2,NSZVFAGWJYIOAD-UHFFFAOYSA-N,Organoheterocyclic compounds,Diazinanes,Piperazines,NA,NA,NA,NA
14.096_253.10464_RP,L2,"(6S)-6-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxy-5,6-dihydro-2H-pyran-2-one",C11H18O5,NA,NA,NA,NA,NA,NA,NA,NA
16.451_257.17469_RP,L3,(E)-tetradec-5-enedioic acid,C14H24O4,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Unsaturated fatty acids,Fatty acids,Fatty Acids and Conjugates,Dicarboxylic acids
3.738_116.07058_RP,L1,(S)-(+)-5-Hydroxymethyl-2-pyrrolidinone,C5H9NO2,HOBJEFOCIRXQKH-BYPYZUCNSA-N,Organoheterocyclic compounds,Pyrrolidines,Pyrrolidones,NA,NA,NA,NA
17.9_241.17982_RP,L3,"(Z)-7-[(2R,3S)-3-pentyloxiran-2-yl]hept-5-enoic Acid",C14H24O3,NA,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Jasmonic acids,Fatty acids,Fatty Acids and Conjugates,Hydroxy fatty acids
